,address,delegation,refund_in_ujuno,refun_in_juno
63,juno1q5rfhlfqgwsk4486agr070x5yvkwsnyqet4p8d,17396582,869829,0.869829
64,juno1q5tlelhz59yty82dvry9gar8gz5tycz6aqtzqc,4000,200,0.0002
65,juno1q50hkqt3lx3d9lpsj523n0qj3epr9hfsvyu9wv,5010000,250500,0.2505
66,juno1qkrc895rary5teuzhleqa5g3sjzrzc74gpctmt,6353750,317687,0.317687
67,juno1qkxahaagjaxs998j050zga8sdrn8lmjqwrzsth,43750,2187,0.002187
68,juno1qksy9vf9p7d76qh9tmhjvenv8qu8dyr242dv7k,7900000,395000,0.395
69,juno1qhsqrnxsfuj2u3hsfeea59crphmp7cggqzcp6t,33380630,1669031,1.669031
70,juno1qcx0wdx08prqydymvkdhll0xhjykyauxce7chz,99299999,4964999,4.964999
71,juno1qctpe8xq30eupvmtkd0yed7jr80ja5yq94pqjw,5000000,250000,0.25
72,juno1qc6l0fgxjpft8uwg2fq7wgp5zp6gfaddgc50nx,37739409,1886970,1.88697
73,juno1qcu5e77rfhe935e4apqj384ckkq2wsudjr0y89,100,5,5e-06
74,juno1qe252qzmqqu2kurnled0pk8hh8x7men84xcrkt,10,0,0.0
75,juno1qe3hpvlmlj2cakdj7zm8j4usk25c8c7ccd4als,1800000,90000,0.09
76,juno1qej7dvr5spd8gt698a5sesa0seuwq4dm4gss6m,24374728,1218736,1.218736
77,juno1qe4zmwz8rwcmy4gz4tspxdh3aq7wtcehung3e3,110000000,5500000,5.5
78,juno1q6vpe6tgkq0t56hr399vceespl9rdmg9kfw3dv,10001,500,0.0005
79,juno1q6jvdcck2a7etchsal0elyl06uxzxhyp4jtxra,3000000,150000,0.15
80,juno1q65v58svd8al8w5m76mry08kuphrqe0ptxjfx0,100000000,5000000,5.0
81,juno1q6mp487cpykkcj9r7jz3pf7c8y8n6g65nkk8ee,1001,50,5e-05
82,juno1qmpds0qvrkpj7jzvw5m42k3ptnx2lrsyjfzyg7,400000002,20000000,20.0
83,juno1qm9su76qg3nck0sfpvvckzwftf9t3l2qnahsal,43010533,2150526,2.150526
84,juno1qm8j0dz4hc3u87zmgywq86wtwd5uswnjmt0706,3363788,168189,0.168189
85,juno1qmtqczf3gspgrz9k3e0yay6f0zp3a456fe7rcj,9900000,495000,0.495
86,juno1qmkr3pwnkk8ffzd0u5c79krry7ej98m2nu0ras,100000000,5000000,5.0
87,juno1qm7zz3en52v5hldx7vna2r7n2rmnh4wzm9e94m,10000000,500000,0.5
88,juno1quqxfrxkycr0uzt4yk0d57tcq3zk7srmpdd4c7,1050000000,52500000,52.5
