,address,delegation,refund_in_ujuno,refun_in_juno
777,juno185jq8gve39rxfstlxpsc6943ck76qul93pm9yh,10000000,500000,0.5
778,juno185muauvvhf3n3cxhjknjhqvey9dgglvpq32qke,21122038,1056101,1.056101
779,juno184xze0xvsngwgl3nmu8s6qrns02v0epnztzsr9,50000000,2500000,2.5
780,juno184nh97e32hu6625kfyyp2zdzdlf69sxec2ujs5,188000000,9400000,9.4
781,juno18k9h8lxyz5t7lr2lx2j4jf7ufz628xrxwx4z2x,9990370,499518,0.499518
782,juno18kx9y2x948jx59u5stjjrkv30eannaxm0wa9fy,78617,3930,0.00393
783,juno18kw7zgxdzdh3t7x4n3n09jpgytr6f8d3qq5dxr,14752271,737613,0.737613
784,juno18k5azg0shgwa7qmzr8cllkv3wpaggzcp70xckf,200,10,1e-05
785,juno18ke6mqrfsstelwythcnvgxnuck4kucdlsvgruq,60000000,3000000,3.0
786,juno18k730yxsr5yl97wtgp6ha4ava9rk24pm44772x,111679501,5583975,5.583975
787,juno18h8xayrkmsgjgm57axnltfd3y9upc2rg9d9eav,30600000,1530000,1.53
788,juno18c9qdxjfs9erh0w36cpjj2zee7gv5svjf3fed9,10385669,519283,0.519283
789,juno18cxkddr6qakt2x2m37dx8xtvfknx77gmcr802d,100,5,5e-06
790,juno18cwgjc3xwmrv9r0qx093xkgzcn7lg742kpvt80,75000000,3750000,3.75
791,juno18c4770sfl882mpwcuy59kmwp063rna7akmhure,100000000,5000000,5.0
792,juno18cksurlfdsthuhf8vgm6ps0f8k2hqr490texan,13000000,650000,0.65
793,juno18ennzdayt5958a0qda7prw04dg05zu3l44fc5k,56175128,2808756,2.808756
794,juno18e4afdxd443k7ng7pwgtlayq2m7cr5wxw0l43l,74838992,3741949,3.741949
795,juno18ek3f3rmhwg8kgsmr84xept7vazz3rth27afyj,27000000,1350000,1.35
796,juno1868rjzdgw7mfk33qddrmx59e3keu2eztn6tgmd,101000000,5050000,5.05
797,juno186sj2kq43zzeyn85pngf8rqdjqt647ygfggd0q,112000000,5600000,5.6
798,juno18m8usde5haswl6kdff9lf6fp9lx84fgl69yenz,100000,5000,0.005
799,juno18u2dtwkl85knxyp99ze38c2mvkt7ajcdaqp4tx,20000000,1000000,1.0
800,juno18ut040zez44fxejxmfs02ed6vtdmwhpe05y0dc,280000,14000,0.014
801,juno18u5swhd57hpwh0cxgxrcs9p9w6j2qwth32n8a5,953821044,47691052,47.691052
802,juno18uc0lnrwecte262ngg3aksa8vtyuwde9whwf5d,107241276,5362063,5.362063
803,juno18adpqq0ppa6q8fsr6ssvrkhhcyeze0pum47zxg,103300000,5165000,5.165
804,juno18a06mz0pxqz2agrqqdynhk8mvcqmg7gf4vp507,1000000,50000,0.05
805,juno18ae38tuvez3uj8cx6s9w26grpljgcvz6wmnr4k,37478982,1873949,1.873949
806,juno18ams4r8kwhwhnckvukuuuxwagnvwefvcj9hnqh,398581,19929,0.019929
807,juno187z4l3dhfrhspt2mt4zwakq2hx5e3n2sd6nlj9,1159900000,57995000,57.995
808,juno187hdu80hm7nztr8v59wg5396dcs4r5pj87vg74,515300000,25765000,25.765
809,juno187h3u9mxxzgzcqsyjum3s72p4zcnmh63z500av,1001,50,5e-05
810,juno187uvagcyg7eh7an77qvq5z6m5y5fq8cz4kmjvp,5100000,255000,0.255
811,juno18lz45r3jznse0rxrfn79mxeepwt8kt0yy2wqyj,20000000,1000000,1.0
812,juno18l7yc3wdrdt2lx66lxmx30jlv5hcfj50vkwaqh,32205901,1610295,1.610295
813,juno1gqqd6eeedgjtrp83v8zn3c8wgdm29med9d4dr0,190174223,9508711,9.508711
814,juno1gqefpgpvyhhpk6yep8kqkurqve63dx9j03z5pk,4758101104,237905055,237.905055
815,juno1gpxjmp67ae7te5lqtvrp8uusuvzsaq3k3aqxln,73242587,3662129,3.662129
816,juno1gpwfz9dn0x8gs0dt3pnczvzra45qj6gat4cqej,1050000,52500,0.0525
817,juno1gpw632acd2qz2p5u52997g2vz8hes435mmxc0w,2538154,126907,0.126907
818,juno1gpnh7c09r26p3298wnet23ltsennvv86qf06sk,2900000,145000,0.145
819,juno1gpleadeggjjttv3y57xsd3xezha83uqwzdl6vg,800000000,40000000,40.0
820,juno1gzdgqfz9a5hpm9mp6v08d2cejcukup3gvp9yks,60000000,3000000,3.0
821,juno1gzwepw9n0expugucl6rfaedu265k2qykn2kq44,1100,55,5.5e-05
822,juno1gzactxqd234n4gl979lm9ljx6yn8gylx8c9duc,37460540,1873027,1.873027
823,juno1grggpfq0l9ef0pmlaeutjhtyae3u52u6nw0zuf,47000000,2350000,2.35
824,juno1grs0sl7lkqe3vqe8szwur567resu92mzdqjr4p,100828911,5041445,5.041445
825,juno1grnqj4atrlu4rfyfy8c3zv8tpuja43aujhwwmd,350340000,17517000,17.517
826,juno1grmp0wktm02hw7ec6xx7k53wsrhm05chw22tmd,98456753,4922837,4.922837
827,juno1gra5sy3dk20hh8wuc4qtytnk2pqeu950z08tvn,10001,500,0.0005
828,juno1gyzr28e5yc8mqg9seguv8ej9zzdfpf4aamkgl7,17958445,897922,0.897922
829,juno1gyrgg9w52x4u9yqkvy4ps7tqs3fr0q8n4vte82,242848527,12142426,12.142426
830,juno1gymcz07zk8hjfkfkyzmj4x4s4nl50vj63kjgfc,68869405,3443470,3.44347
831,juno1g9lrzxyhgqslkdvtxvrgkw0sunckmde5ar8vt6,17572669,878633,0.878633
832,juno1gxq5thehfmzzt20cduqf2lzwxarfzec537qqmp,446261185,22313059,22.313059
833,juno1gxzzgvt266t4yec44nvm32crzujzasv4s54ers,100000000,5000000,5.0
834,juno1gxfxwhdsquu95626zt7ngt9dwgdmerd9v3v4qa,100,5,5e-06
835,juno1gxa40yjrgrlt2ffqka8cgycxnhlq9kd238reqq,100000,5000,0.005
836,juno1g898n9mu4932x77q02s5qpng37lhf65pg7grzx,1001,50,5e-05
837,juno1g8tet0fdx5el0cu4htyxfswqd5mgtzuew89g2n,1020000,51000,0.051
838,juno1g8whhqklmf0rz6w78r077shpyqac3fe6t99f9j,75000000,3750000,3.75
839,juno1ggs3eyh74dlmrr9ksrzekqrazr9ml7npqm4kpf,1056,52,5.2e-05
840,juno1gg7z4cvgghdl30nhjhp388jvfp68rxlmeqqpsj,100000000,5000000,5.0
841,juno1gfz0c44m8zr4gksa2al8smg4em4zyn6wktvqud,13167129,658356,0.658356
842,juno1gffeuzpp0fq2wd8emzfwsll6jhequ40exls5zq,1,0,0.0
843,juno1gfvzmysmy8srla5duzqk7czpruwqn4vxp8vt0q,5321107,266055,0.266055
844,juno1gfje5jjtz37psn067ddyv7nhgkuu7g9lzk8mgg,9000000000,450000000,450.0
845,juno1g2racvaa9mdn92gmnh65f94gynmk9ez4estx22,1000,50,5e-05
846,juno1g2jmz47twqhlv5ulf45agtvqccy09eknyr2kyq,17000000,850000,0.85
847,juno1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9r42th3,50000,2500,0.0025
848,juno1gt9g0t7mmkhavcunqw03r8j5t8ugunwqwheqmd,1488000,74400,0.0744
849,juno1gtdsy4hnl2hx3lma3fhwghqsaxqgv0qdjvw9r8,100775027,5038751,5.038751
850,juno1gt3dqdlu582efhefp2e9yugs04fjzl6v89nv4x,70000,3500,0.0035
851,juno1gv0fmjrx9kah8j9u5t9mv6y3a90a0wdh2jkcmw,9961021,498051,0.498051
852,juno1gvn3y94vstnpegys5wqdmtqduhmecmvyu2mk7l,1512625,75631,0.075631
853,juno1gdctcpg55pjj8mxsgxmawhdurqmd79t4fvj87c,4456186018,222809300,222.8093
854,juno1gda5kap5z8us85zfp2ar26meq606vpem9ca95l,23201576,1160078,1.160078
855,juno1gwgzv9qt69afq745y4wawmc45a5cr96cgp845t,24336839,1216841,1.216841
856,juno1g0g8u0gj5fgdeteyljuhzvjlcnfxt8ha2cxlnz,1001,50,5e-05
857,juno1g0kzplgmuatet2p3f2w4z8f8y3skhshyvd9wwk,14819904,740995,0.740995
858,juno1g0hac4d9t74s9xgsycw2vn5egh8kg63zyzzt3u,11000000,550000,0.55
859,juno1gsqsyzp893hjukwd2lkt7jersfa393anxppcey,5000000,250000,0.25
860,juno1gsstvunz624l4l9m8gy9pa5ehux5rxjz209dmy,1000,50,5e-05
861,juno1g3yagc8fzq3s9lehwzhegjrj5gr02z45a5gcz3,1464000,73200,0.0732
862,juno1g32ryamy5e2gk9xccspzt0c9w6w803dmwakc8v,500000,25000,0.025
863,juno1g3s6z9gndyfd24rpvt9sefqm4syv2cn5vx3rxw,7172640,358632,0.358632
864,juno1g3nlfluvn46we8z6wmnrrtaxkc9l3vr3y088fd,10,0,0.0
865,juno1g35ngyy9myjkdypuet0u90ypscf9xcrrcr8a8l,77790105,3889505,3.889505
866,juno1gjqk6lvngt28twcuvwxs59pnx70z38dz2rwnre,275603983,13780199,13.780199
867,juno1gjzjr6kkdfkqu5d35ku7a3q0mlza6m8rdnn2ym,8000,400,0.0004
868,juno1gjvxngf5f8y399m03z0pcsj72u024vugwqf5k3,480172645,24008632,24.008632
869,juno1gjsx66fl536207xnuwzwk3mryrjh72799wctth,110000000,5500000,5.5
870,juno1gnq2evcvrntqghsgfc334qeptcl7vr2k4p72a4,94339512,4716975,4.716975
871,juno1gnpy3hzwvva7a22ealv750vrmlmvjfu5my8054,10001,500,0.0005
872,juno1gnfqundmu8pzxh52g6ula38pdmghn6mmew326p,176000000,8800000,8.8
873,juno1g5n4ja2yhqpc7evl7077l5y352gqphwgef026r,10000,500,0.0005
874,juno1g5ue7nrutnk0vh0xflahv0vt2mm03y2jfkvza4,24015681,1200784,1.200784
875,juno1g57tgvzf9e708jamdws7r7cy6l63ucnkt0txzh,113508,5675,0.005675
876,juno1g4paaxc4hzp4vg3wxf9hdfqth8fuwlc0n98cad,155097477,7754873,7.754873
877,juno1g4fcfkedtu476n0ctsxsqh8xzy8we7y0g38pmt,234672072,11733603,11.733603
878,juno1g43xelwadyuydh7l5z5tquap7s9q75n80lhtpk,7385399,369269,0.369269
879,juno1g4kmqkq3j3t30rn2cmkjnxpk6rrvlhtspq4ql0,10000000,500000,0.5
880,juno1g4u0ne8rnz9zgglnvp36vm0j990qm473ah2vnd,4347889,217394,0.217394
881,juno1gkw55znfsr8umeppg33av95g6s82kl067rp9d9,20000000,1000000,1.0
882,juno1gkj5akd92eyllqypjshv6deeu3h2rk77q9jn7s,10,0,0.0
883,juno1gk5jp4d05xqkwramy2hdesk5ev6pcy56238ct9,29614779,1480738,1.480738
884,juno1ghpk74jesfgsjcxt0yv2464gpncyjsar7m7ml9,53350370,2667518,2.667518
885,juno1ghrj0q09rwzk27m9mdn80alrrhtjahe76yap7n,400000,20000,0.02
886,juno1gh99r9rquy4ryhw25mwr5lz8thytkj9a3f9tyu,148097971,7404898,7.404898
887,juno1ght427rvazvpnm29jzayvmqqvxeef96trgawn4,3129218,156460,0.15646
888,juno1ghte2csqmxytd0nkvvag0m4ma9hk9funzr8hr2,87906957,4395347,4.395347
889,juno1gh7t8zfeym9c0emwcsnwjgcuew7fzqc7n789lu,25000860,1250043,1.250043
890,juno1ghll0u0u03tk3wqss6e3dh9xd7nlldrpmsfffy,20210000,1010500,1.0105
891,juno1g6x99mx2vgk26hxl0jjqzrg0enkwskqk0nwhkr,1001,50,5e-05
892,juno1g68k37zaeesngp46eqma4592ja6srmshu9eg46,10,0,0.0
893,juno1g6cgcj3wqd3vc7jr77hjq4umyae9aqkawm3e5s,6451507,322575,0.322575
894,juno1g6lhftnmfh8rxg036facaa72jcypf6rt293nnc,10020000,501000,0.501
895,juno1gmc3y8scyx9nemnuk8tj0678mn4w5l780uptae,994800000,49740000,49.74
896,juno1gmldc4msum7fer0mp3dq4u9k3wnemw8qvl2wss,14258000,712900,0.7129
897,juno1gmlml0k37fe5tpcd8grypzgnaeyhuctsl6mzlh,268515,13425,0.013425
898,juno1gupdxknln4uxcwycweevkypjdahtyhj5cc7jn2,76500000,3825000,3.825
899,juno1guxqr5tzd8jy9hjw09u6vhugzc5e54e8e5yeja,103000,5150,0.00515
900,juno1gudewxg357cm57v47hpwcjg65sgp2lucppjstu,37000000,1850000,1.85
901,juno1gus93u0r407mlkxayjgpzkdknl4gc4wxtuqxue,100,5,5e-06
902,juno1gu39lh8w2x6aee4t26xm7ez85hmcujzcc50ezm,39000000,1950000,1.95
903,juno1gujfrjwr853n9n96qe98vasgdjecc8j0m3jjya,50000000,2500000,2.5
904,juno1gunclxdkq5hm8mxzmg80dwgjpvtn56778c8u0e,10001,500,0.0005
905,juno1gunad9u26vegqh7n8mhzp4gffur30zq2d058ps,6103771,305188,0.305188
906,juno1guagrm7cz9ppjt3mjxtan757ur7z7pmzl29nq2,20000000,1000000,1.0
907,juno1gap4pyst4mnw3xsskhrunznh5gmwr0f4e04cdr,40700000,2035000,2.035
908,juno1gatgqylpdlh6f9x65xdh9fdzsdcgj84fyk9ldx,31258448,1562922,1.562922
909,juno1gat4q9naztffy4tx4yem869v7vs6c6nrkgh6rz,16300000,815000,0.815
910,juno1ga5lqynzsaayydc3d4rsuhj6j40pj95u4jx5xv,10100000,505000,0.505
911,juno1galcfvslm4js0r4gdgxp572wshdsttc3tf6rya,5000000,250000,0.25
912,juno1g7zh2dny350249xfhmqxqy8zx5l0d5g2vg25k3,1010000,50500,0.0505
913,juno1gl9ystp0pdsh2fthpf6k8wkntzr3m3zg53qyxw,252019,12600,0.0126
914,juno1glg7e88dlaqdgtn643e4qnxj70kemw5r5q0lv3,5001661,250083,0.250083
915,juno1glht3clrqdxhznnx4jg4ccaxe4zjxtyt99jmuf,42400000,2120000,2.12
916,juno1fqrqcrjgl2fjtyfm4hz9a222uaqgp067gh5znn,25075300,1253765,1.253765
917,juno1fqrc4n78yn3ej957yfl4t3t9amdr7fd0mxp8ym,20005482,1000274,1.000274
918,juno1fqt0w9u0h0sj7s6vyxakptetsgeqtt4ptuwqye,544341212,27217060,27.21706
919,juno1fqnr0dujf6whemur2tzpvlr5jxmrws5wcec7lq,480000,24000,0.024
920,juno1fqe73f7zx5jvuxj72wzmlmqgm0ju3s69l8apas,204769626,10238481,10.238481
921,juno1fpyd4f4ctz2lq9dzur3xpu0cphgkm5a93mdf0u,1001,50,5e-05
922,juno1fz23czqft84ltu6k86qzccznd4n0rehk929dcw,7523496250,376174812,376.174812
923,juno1fznnwng7swr95sf0uyphxyaxvl7ywc9myfrkdz,21000000,1050000,1.05
924,juno1fzk95h2tl68e8arhz5g9u8g84ce6gtyqmq3cqr,27399460,1369973,1.369973
925,juno1fzkxv7k8hlcphdcy0su38w3yylzvs8mh9fzcdx,23169743,1158487,1.158487
926,juno1fzujlfzqzqmfyn6tezxnapgcd3hdz4ur82cljt,192,9,9e-06
927,juno1frsvzjswujjwt8f8pcms9aflrud7caw6kktc4r,477,23,2.3e-05
928,juno1fr79sqltv85dl2nq77qts5lm96nuzes8wng9mh,23803504,1190175,1.190175
929,juno1fyxtum6ey7gtchdct3e34gj43vnkwg30rvzxqk,92768951,4638447,4.638447
930,juno1fy00ymcg0hl2d09422usyn40rmeyk09rtxvf2x,300000000,15000000,15.0
931,juno1f923gcmmk06lu3xhjfsx35eh9yq4w8apvrm5f5,10000000,500000,0.5
932,juno1f9k272cgejjdt0exugldcgzlf46d00ttlsnpam,80893363,4044668,4.044668
933,juno1f9hkwsq4jtaunzmeeyr47uafztuznnfug0ly9c,5000000,250000,0.25
934,juno1f9ln92ltg2tkhaauuwc4lh6hlylj2tm6n4ckf5,15550000,777500,0.7775
935,juno1fxf0gfpmy26kgpehkyv7wayz8nmad4n0dha5fc,98846721,4942336,4.942336
936,juno1fxjjrvjgukph3286xkejvurnlgj0zskshaaadm,21511402,1075570,1.07557
937,juno1fx5gpm795cu9wplf309vrrea0r2fxt94s2c7c4,16776764,838838,0.838838
938,juno1fxkqq9ca2wwyyggcmnvwh9vnfhex7kwgreptsd,206200000,10310000,10.31
939,juno1fxkzv0a0zc243cjg8xanwfckz372w9c2nlvmpw,13119245,655962,0.655962
940,juno1f8z54w7mkzgqu3aq75hn7jt8t6pcmuuqck27yl,60420872,3021043,3.021043
941,juno1f8rdzyn7uu0yuv5kngwqlahp56y38j4gm7ecsf,48549293,2427464,2.427464
942,juno1f8f4k37667rc5md053c54gr2a2v7ea30udnn5c,14962590,748129,0.748129
943,juno1f8svy064kp6rwy06sddpvg978slzh5htmm09jw,1,0,0.0
944,juno1fgngf5pka7m6u68zmdllds7gna7jttw02cp94x,50000000,2500000,2.5
945,juno1ffve0zx389ffl80ae9t8jmghcjuzdlqrpc2vsk,795000000,39750000,39.75
946,juno1f2x2w8wyna3ls5ndmtf0t0c0w36zs493p9hr7q,68237936,3411896,3.411896
947,juno1f2gv58w4dqg3gjwu8wwk6vznrjlvu4af7gstk0,1050000,52500,0.0525
948,juno1ftymwrwhp79d2ucu922jxmlkzunj27cw7pfgf0,50544165,2527208,2.527208
949,juno1ft9m34m6fk6sf4f9dkcdcl95c7dp89hrpv2fr4,125090000,6254500,6.2545
950,juno1ft9lpn9uazkvhpkgd0l0uys0arftxkpdflnyys,295000000,14750000,14.75
951,juno1ft44t5deqhhwxf4g8g53z0cxwkmhpsu24axxah,1000000,50000,0.05
952,juno1ftkdaf64j80fvdxc93n489djm0hd3830y7wsuy,2307,115,0.000115
953,juno1ftk4p9a2yg0hxja9mrlahrlrzeatd9jw4gwygk,200756681,10037834,10.037834
954,juno1fvver80w0trta55r9767xggzyh723flxsdwlzp,1050000,52500,0.0525
955,juno1fv54jjs9h8qeuaqj9x56e3d2rrcmht8ypkz9k4,1297843,64892,0.064892
956,juno1fv4thfdf52ye23lu6uu65vzlmtfkmz96a25dm7,116086816,5804340,5.80434
957,juno1fvmtdsnmaajaacj0nffj8aju6h2cwll4hhd6d5,1001,50,5e-05
958,juno1fdygrk54ztl08ztgxzq4p38cj2rlzk8kaf0qz3,12516028,625801,0.625801
959,juno1fddv7kyuayq3wa5cekyxf5ayeht608mquzxeja,26000000,1300000,1.3
960,juno1fdjnklnygv00wkxmcctlskuuj7xzrh2t29gkqp,761618098,38080904,38.080904
961,juno1fdmfq7d6n2w8pd8jtxzywkrn2eth2tnnz5d6r9,100000000,5000000,5.0
962,juno1fdat3nu93jkmnj8458lfs8dp243rlx9zsg6whf,201309999,10065499,10.065499
963,juno1fdlva58qvktn4a90jfxwmn2padjnaffc2nr420,52719476,2635973,2.635973
964,juno1fwgamrvshdsnjtuzvy04yey7lsv9p88rwkrthc,104000000,5200000,5.2
965,juno1fw2y6nnr88jmd7l72k66mg2zak4dk83z6uamaf,100100000,5005000,5.005
966,juno1f0ve4ywdf6jurmkr5zhy47pggrznjmeat936kv,500000000,25000000,25.0
967,juno1f0df5hdu5rn947kz7t2ekdm3n8nsr0gkhwu2fs,26000000,1300000,1.3
968,juno1fs8vsu9hvkr5g8wj76n0799v3jct64lj7l5fn3,5000000,250000,0.25
969,juno1fsdqz6vhpehzezm7f3ej7csatamsm8xedsen6l,1230000,61500,0.0615
970,juno1fs3xyppgxp8xd3uc49fey38wem3mpv04gnxykq,10001,500,0.0005
971,juno1fsclv2hq9vf2jw8dv5wrffprh5ga623mc2y2f2,584151993,29207599,29.207599
972,juno1f3rz4832j0yd9sg28nr32yfhd0kxfd5sqnjke9,10000000,500000,0.5
973,juno1fn85ljcu4gdql3t2mg2yn2e4aw0483qnf6r3wk,50449915,2522495,2.522495
974,juno1fnv7wnl3l9j5ryz4zqunv4fmfmfgknnmj78dhh,16941548,847077,0.847077
975,juno1fnlanhmeak3jyza5jp0rhe8vy448ljnttj65jd,28162710,1408135,1.408135
976,juno1f5p2gdllqc9auv7l5l44rumj7xesdtz2rl3qrj,107990000,5399500,5.3995
977,juno1f5jlr9zzr9cpmfw72ul52ff5a038eptwqpszer,65000000,3250000,3.25
978,juno1f5584p4hcr043q7snukltazumrt0fhqrgnmnfh,1100000,55000,0.055
979,juno1f5lac2mc8y72vvrlca8l8ye4s93kvpaguk3964,1480000,74000,0.074
980,juno1f4srpv4cpav696kxce7tujnul5gmlhnrhjdpyp,21072431,1053621,1.053621
981,juno1fk95hrxtxz48ncx9ak5zgqna8zp5f6ey2vesrh,50050000,2502500,2.5025
982,juno1fkv55duypw3enzu8y4urd2ltmg8mlk4zzx0808,4963467,248173,0.248173
983,juno1fkw5n6upztctlkykf5vsgkn0krvtfaw6pnn35k,112642172,5632108,5.632108
984,juno1fhqs2p0vhsghjw6lqnwrvad7tnsndr2zvy240l,100000,5000,0.005
985,juno1fhzgpx0ejyz7t7teld76gxljwst9qd597s25e2,14090892,704544,0.704544
986,juno1fhmuzafrqyruj9z48xee0hysm35t6dt5ujcjtl,1266111,63305,0.063305
987,juno1fhum338ulzxt5gs4ejaswxx7pnjac0zax8v24v,25000000,1250000,1.25
988,juno1fcq827jm7jxy7prklj9t2kvydwx40sypdlawut,1455000,72750,0.07275
989,juno1fclfcnjy5hrscunsasqwwuunrllh68vzldh290,1332285793,66614289,66.614289
990,juno1fe3rf3srwl89gqd7pmyxtlm6fl8lkw6ues0kjf,1020000,51000,0.051
991,juno1fe35d8ju4fzy3v94qhcr6s5dvu98d9jc5dsrza,500000000,25000000,25.0
992,juno1fe6v77cwtxlxs74r09m36h8wm4e0ely7gkj58p,5000000,250000,0.25
993,juno1fe70esnx83hrqyg7w2xpdfajgfeyzawm2nayez,98712758,4935637,4.935637
994,juno1fe7cfh0sj767256l6f8dydwzygjxfqq8t6f8jh,104000000,5200000,5.2
995,juno1f68dt67z8w076v3pq4kujwrw9gdhv29l7947xl,1001,50,5e-05
996,juno1f6dl5375fht5hzuqg3mt59ue4xsrjk5e5l2964,3038529,151926,0.151926
997,juno1f6wtm6399g0pzpf5mkva4t0rxfh0a7dnkgcqll,80000000,4000000,4.0
998,juno1f6klmvl7ftqntv2mpcvnhujf3vs2xl2zalzjv6,11165141,558257,0.558257
999,juno1fmkm4um3va4r4q8kwffkulyfmfflsc9vlm7svt,2342067,117103,0.117103
1000,juno1fmldk8fm6mnhv9kkppdwrh0vfmrz7tanefz029,1101000,55050,0.05505
1001,juno1fu8yxj4ngv37zqtz0yzj652zsf6rlctjdl59u4,51490796,2574539,2.574539
1002,juno1fud54lmk97026ery9h5nwfhmvrm74fd5lfzwey,15859204,792960,0.79296
1003,juno1fuw09hfg2gpk5tzcueh0nx054k87jsepzyrmm9,331000000,16550000,16.55
1004,juno1fuj73mcyxgadwkxcz4lvgcufy93rhjetn2u63j,1001,50,5e-05
1005,juno1fu46gucv5a39uwnu3un4hwm7v4kfsqj9j3lc3n,100000,5000,0.005
1006,juno1fuagpj5nc33atnh2sgsmnleucanpgsc2la4em9,22111400,1105570,1.10557
1007,juno1fa9flyde09y3tmzajaq9qphwzf4krh8yk2gevz,110045057,5502252,5.502252
1008,juno1faj9uaqgu39dtt2awhw90yr7m8yl38dljwrh8p,1100000,55000,0.055
1009,juno1fa5rlgdwagrjlugesz9589syg9ly87q7jxw6r4,1001,50,5e-05
1010,juno1f7p8xr8vyladxexna8xe72j3wwz6ru7r2w3c0d,11640000,582000,0.582
1011,juno1f7ydk0w4zzz92hj69vpeetan8fkx0tyr4dc62e,50070999,2503549,2.503549
1012,juno1f787nxr4pn50fqw945tfzgw0yzuexdmtnpvmkv,2100000,105000,0.105
1013,juno1f7d3azfg3jzxu5rzcut38e7j2nxjta64q9dlc8,863206,43160,0.04316
1014,juno1f7hr8r4gpqx3phejlhr7qafwq2fmx2859t2rh6,24500000,1225000,1.225
1015,juno1flxyjmz33s466nulqgg6zs47nnnmt26mvk0vdf,2000000,100000,0.1
1016,juno1flwlwzy9jzvnugp4qalnt4mlqam9cazng3e993,132987661,6649383,6.649383
1017,juno1fl4g8lyrfftte35cdlpxcnxl5jyhyn9ef644me,10,0,0.0
1018,juno12qfszxfd0n27l0dzquznkydmjnd9gjdfrlg00t,12527938,626396,0.626396
1019,juno12qvfy0nkxsps8mgh67cprvej40tss4x659zpxw,8000000,400000,0.4
1020,juno12qv36tusejn5nv4895mw0z2w4f2xtek8jer2ne,4263893,213194,0.213194
1021,juno12pde9pdm33y4sfkrj459hszgx3ms4ddv5yceyy,10,0,0.0
1022,juno12pj3c49qwecdpr8th5mqv4upqw08q30a6nsem5,53088764,2654438,2.654438
1023,juno12punxl5zfegw6krlj0tdkd5pdx52x0jhnn6734,10,0,0.0
1024,juno12zf52lux9kqrqqpyawrufl67js4525xcaetetp,115549609,5777480,5.77748
1025,juno12zvzkk56sns4fmc9zsq0zrlgps7szfn576ccyg,10,0,0.0
1026,juno12z76p743pgrd69z940kghtttv0ehy3q2eqt5xc,41000000,2050000,2.05
1027,juno12r8g4d4gztpzx3ufgfvl59k7g78y0xvug5fzjf,29193984,1459699,1.459699
1028,juno12r08tncsx8zwv6jrzw8a0zd4kvfacudcpmxket,2700000,135000,0.135
1029,juno12r3uvghy2et5u3l6pt9a7gcr9q8n35suzzud4j,1001,50,5e-05
1030,juno12rhsrud58m4634ekrfs69wjam09c5z3ljarh5n,9855928,492796,0.492796
1031,juno12y88cvtzg8gfjltc9zgs39xej53jn8zs7299vw,148315185,7415759,7.415759
1032,juno12yt0kgzv75sr6lsjwy6c7x73svjxa8u2lcphag,11255142,562757,0.562757
1033,juno12yjhsjfnh9znp7yhxugjgmhm8y5g5t9hyn6tee,1001,50,5e-05
1034,juno12ynhy0s7n7lh0f3tv6d2557mvnuggr90z937v8,550,27,2.7e-05
1035,juno129vfqxfauw4656qsm3kecj2vpdk68r8rcsdtd7,83000000,4150000,4.15
1036,juno129s2zc5r845srym3jlmgddk7sjhw2y520hvczf,13343057,667152,0.667152
1037,juno129h9xwqwxwf0qumew2hq77sxwsm7l66jmszchz,50000000,2500000,2.5
1038,juno12xxlnez072hzvg6x03uzth8xu4z7szvg6lgths,32000000,1600000,1.6
1039,juno12xd0x79uazgq3wn3mf55d20tt04mcvhsqwppur,32930586,1646529,1.646529
1040,juno12xmkx67gpnyk36ras4epfuy2qx2ajcuzzgaykg,36333210,1816660,1.81666
1041,juno128yllxgrsyyfgwp9tzgpn87v6q2gul4l92kj39,13520927,676046,0.676046
1042,juno1288vngas49af4zyer4743g57sh3vx3tefdrgxx,10001,500,0.0005
1043,juno12g9y7pj36q3rfkfvd7emy8fqvmywuweq6y4w8n,103990000,5199500,5.1995
1044,juno12g2v4a7ej468c023x9f98zl9knddtwq04hh8gy,208987966,10449398,10.449398
1045,juno12gtg0f03kuz7pzqcqch3xmvyn0m0rtkds8xdsl,101431935,5071596,5.071596
1046,juno12gd8rdqdkx7w3d9r8mzcc8tsgye578ggj2qgnw,10,0,0.0
1047,juno12gkpztajtaflpeh3nj9k5fae7hfnflex2jm0h6,17102301,855115,0.855115
1048,juno12ffxpmsp5uyml673pvjd3gdkg568udd8e2ufn6,47000000,2350000,2.35
1049,juno12fsat5hcmnlnuntsdsy7x9k66lc350z8hcepaq,25001,1250,0.00125
1050,juno12femwfq6ajjegv5wxn9k30lfy6sa48v4cs3wne,17500000,875000,0.875
1051,juno12flun6nedtqktkttpmd8y44m05sjk6wl8nf5hn,230142295,11507114,11.507114
1052,juno122z59q3vm0g6v39hvkaypyqes99lucsr7tvl4r,5000000,250000,0.25
1053,juno122r50qlf6q383q0m5mr7areqyr2mxvsdupaze7,89000000,4450000,4.45
1054,juno1228y05ru5s7j46xydl37utxqwsruxt92mfnk4p,1450000,72500,0.0725
1055,juno122taa46qrdv22ryk6v9wvs285y24q9z2jl2w3f,199960001,9998000,9.998
1056,juno122hyxfclgv7zagd35c4kz3n9zucetertxqywrm,10001,500,0.0005
1057,juno12vyyl4xf8x9tjzgcnl2p5t8jm6mw4uzrhkd4uv,9280748,464037,0.464037
1058,juno12vl79qcmjkverw0lh3qgxsrelkgh3te4nupdnn,31623394,1581169,1.581169
